epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,473.303,0.63352,0.49978,1.18487,0.86211,0.92857,0.96793,0.65625,1.31717,0.69579,1.6394,0.000401747,0.000401747,0.000401747
117,476.355,0.62376,0.57077,1.06666,0.92182,0.92857,0.97625,0.65868,1.27311,0.68142,1.56671,0.000390745,0.000390745,0.000390745
118,482.109,0.6134,0.49981,1.10835,1,0.89582,0.98625,0.67474,1.23866,0.68584,1.52145,0.000379743,0.000379743,0.000379743
119,490.099,0.53994,0.55856,1.1489,1,0.9212,0.97944,0.67127,1.22707,0.69489,1.51369,0.00036874,0.00036874,0.00036874
120,493.284,0.5719,0.44363,1.12353,0.92033,0.92857,0.964,0.66146,1.24221,0.71462,1.56334,0.000357738,0.000357738,0.000357738
121,496.595,0.55481,0.45162,1.05425,0.92233,0.92857,0.95955,0.63092,1.27389,0.74078,1.61399,0.000346736,0.000346736,0.000346736
122,502.492,0.57264,0.51029,1.10387,0.92765,0.91659,0.95583,0.58497,1.30854,0.79047,1.66194,0.000335734,0.000335734,0.000335734
123,505.61,0.67788,0.70419,1.17947,0.90182,0.85714,0.94569,0.58299,1.34259,0.76673,1.67434,0.000324732,0.000324732,0.000324732
124,508.781,0.65985,0.5819,1.18273,0.99028,0.78571,0.92819,0.58035,1.35821,0.78711,1.64557,0.000313729,0.000313729,0.000313729
125,514.375,0.6261,0.5247,1.12565,0.99162,0.78571,0.92733,0.56214,1.32777,0.78748,1.60509,0.000302727,0.000302727,0.000302727
126,517.595,0.55839,0.52127,1.16155,0.9917,0.78571,0.93966,0.60882,1.31634,0.81075,1.56652,0.000291725,0.000291725,0.000291725
127,520.678,0.53446,0.47512,1.08267,0.99254,0.78571,0.92674,0.60488,1.29685,0.8323,1.49498,0.000280723,0.000280723,0.000280723
128,527.008,0.53834,0.48433,1.02936,0.99244,0.78571,0.92919,0.59562,1.28547,0.7837,1.47039,0.000269721,0.000269721,0.000269721
